date	number_victims	state
1990-08-27	1	NV
1991-04-23	1	CA
1991-10-09	1	NY
1991-11-01	5	IA
1992-01-13	1	TX
1992-05-01	4	CA
1992-10-06	1	TX
1992-10-12	1	AZ
1992-11-16	1	AL
1992-11-20	1	IL
1992-12-03	1	IL
1992-12-14	2	MA
1993-01-08	1	PA
1993-01-12	1	FL
1993-01-18	2	KY
1993-01-21	1	CA
1993-02-01	1	NY
1993-02-04	1	GA
1993-02-08	1	DC
1993-02-18	1	TX
1993-02-22	1	CA
1993-02-24	1	CA
1993-02-26	1	CA
1993-03-11	1	MI
1993-03-18	1	GA
1993-03-25	1	MO
1993-04-03	1	CA
1993-04-14	1	TX
1993-04-15	1	MA
1993-04-16	1	CA
1993-04-26	1	NC
1993-05-21	1	MA
1993-05-24	1	PA
1993-05-27	1	LA
1993-07-08	1	UT
1993-08-31	1	GA
1993-09-02	1	TX
1993-09-25	2	DC
1993-10-14	1	MI
1993-11-01	1	IL
1993-11-04	1	CT
1993-11-04	1	FL
1993-11-05	1	MS
1993-11-11	1	IL
1993-12-01	1	WI
1993-12-08	1	GA
1993-12-16	1	MI
1994-01-20	1	CA
1994-01-26	1	SC
1994-01-27	1	CA
1994-01-31	1	WA
1994-02-07	1	FL
1994-02-08	1	MI
1994-02-14	1	CA
1994-02-15	1	CA
1994-03-15	1	SC
1994-03-23	1	WA
1994-04-12	1	MT
1994-04-19	1	DC
1994-04-21	1	TN
1994-05-02	1	FL
1994-07-24	1	PA
1994-07-25	1	IA
1994-09-07	1	CA
1994-11-05	1	CA
1994-11-07	1	OH
1995-01-05	1	DC
1995-01-26	2	NC
1995-02-02	1	CA
1995-08-29	1	TX
1995-09-12	1	TN
1995-09-14	2	KS
1995-09-30	1	FL
1995-10-12	1	SC
1995-11-15	2	TN
1995-11-28	1	NY
1995-12-14	1	MD
1996-01-19	1	DC
1996-01-22	1	IN
1996-01-26	1	TN
1996-02-02	3	WA
1996-02-22	1	GA
1996-02-29	2	MO
1996-04-11	1	AL
1996-08-15	3	CA
1996-09-18	1	PA
1996-09-25	1	GA
1996-10-02	2	PA
1996-10-04	1	CA
1996-10-09	1	AR
1996-10-13	1	MO
1996-11-27	1	CA
1997-01-08	1	NY
1997-01-27	1	FL
1997-01-31	1	OK
1997-02-19	2	AK
1997-03-17	1	MI
1997-10-01	3	MS
1997-10-22	1	CA
1997-11-13	1	CA
1997-12-01	3	KY
1998-01-13	1	DC
1998-03-24	5	AR
1998-04-24	1	PA
1998-04-28	2	CA
1998-05-01	1	NY
1998-05-19	1	TN
1998-05-21	4	OR
1998-05-27	1	CA
1998-05-29	1	FL
1998-08-03	1	CA
1998-09-12	1	CA
1999-02-11	1	IL
1999-04-20	13	CO
1999-11-19	1	NM
2000-01-19	1	FL
2000-02-29	1	MI
2000-03-10	2	GA
2000-05-26	1	FL
2000-06-28	1	WA
2000-08-28	1	AR
2000-09-05	1	OH
2000-10-23	1	CA
2000-10-26	2	NY
2000-12-19	1	FL
2001-03-05	2	CA
2001-03-30	1	IN
2001-04-25	1	OH
2001-05-18	1	WA
2001-06-07	1	TX
2002-01-16	3	VA
2002-07-26	1	NC
2002-10-29	3	AZ
2002-11-07	1	MO
2003-04-14	1	LA
2003-04-15	1	MN
2003-04-24	1	PA
2003-05-09	1	OH
2003-08-19	1	LA
2003-09-05	1	CA
2003-09-24	2	MN
2003-10-23	1	MD
2003-10-30	1	DC
2003-11-05	1	CA
2003-11-07	1	TX
2003-11-10	1	NY
2004-01-21	1	NV
2004-02-02	1	DC
2004-02-11	1	PA
2004-05-24	1	UT
2004-06-01	1	US Virgin Island
2004-08-30	1	IL
2005-03-02	1	TN
2005-03-21	9	MN
2005-05-17	1	PA
2005-11-09	1	TN
2006-01-13	1	AL
2006-06-05	1	CA
2006-08-25	2	VT
2006-09-03	2	WV
2006-09-27	1	CO
2006-09-29	1	WI
2006-10-02	5	PA
